,tissue,cell line,disease,material,morphology,cell type,organism,test,amw,lipinskiHBD,CrippenMR,NumRotatableBonds,Hydrodynamic diameter (nm),hallKierAlpha,radii,lipinskiHBA,concentration (ug/ml),rox,labuteASA,NumHBA,mcd,CrippenClogP,Valance_electron,chi1v,chi2v,electronegativity,Zeta potential (mV),kappa1,chi0v,viability (%)
0,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.23399783182303757,0.6709723601745731,0.15667798581472847,-0.840341936612612,0.6815355123243273,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.018609227039153485,-0.2020066424749144,-0.2668578788065878,36.126
1,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.23399783182303757,0.6709723601745731,0.15667798581472847,-0.840341936612612,1.925353803719718,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.8367245959924028,-0.2020066424749144,-0.2668578788065878,22.253
2,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.23399783182303757,0.6709723601745731,0.15667798581472847,-0.840341936612612,2.5472629494174135,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.7788175458189337,-0.2020066424749144,-0.2668578788065878,19.643
3,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,1.0644482473940333,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5560636876140864,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.3694746049375135,-0.2020066424749144,-0.2668578788065878,91.262
4,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,3.448274029453955,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5436255047001325,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,0.9541151133132105,-0.2020066424749144,-0.2668578788065878,87.5
5,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.2573092515576349,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5000918645012938,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.46118453907923934,-0.2020066424749144,-0.2668578788065878,81.553
6,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,4.4469352508841045,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.3757100353617548,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.9670867729839073,-0.2020066424749144,-0.2668578788065878,52.306
7,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.10718370846682815,0.6709723601745731,0.15667798581472847,-0.840341936612612,0.05962636662663197,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.05283999561460323,-0.2020066424749144,-0.2668578788065878,30.097
8,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5836691278419974,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5560636876140864,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.0986236485842673,-0.2020066424749144,-0.2668578788065878,108.01
9,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5836691278419974,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5436255047001325,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.0986236485842673,-0.2020066424749144,-0.2668578788065878,107.14
10,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5836691278419974,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5000918645012938,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.0986236485842673,-0.2020066424749144,-0.2668578788065878,106.26
11,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5437133544168976,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.3757100353617548,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.47544735931901005,-0.2020066424749144,-0.2668578788065878,94.072
12,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.567537625385656,0.6709723601745731,0.15667798581472847,-0.840341936612612,0.05962636662663197,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.5991060107978223,-0.2020066424749144,-0.2668578788065878,64.764
13,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5591732333425748,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,0.8072080648435721,-0.2020066424749144,-0.2668578788065878,88.021
14,4.0,0.0,11.0,2.0,8.0,1.0,0.0,10.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5311873217861786,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,1.0123074198914752,-0.2020066424749144,-0.2668578788065878,85.069
15,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.2513282062222157,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,1.1774708782680203,-0.2020066424749144,-0.2668578788065878,55.556
16,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,2.5472629494174135,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.7594201102928455,-0.2020066424749144,-0.2668578788065878,12.5
17,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5591732333425748,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.3737534510094448,-0.2020066424749144,-0.2668578788065878,97.049
18,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5311873217861786,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.43608197545724287,-0.2020066424749144,-0.2668578788065878,94.444
19,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.2513282062222157,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.13470858379088727,-0.2020066424749144,-0.2668578788065878,92.014
20,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,2.5472629494174135,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.7594201102928455,-0.2020066424749144,-0.2668578788065878,5.9028
