,cell line,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,source,CID,Canonical_smiles,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi,organism,cell type,morphology,tissue,disease,BSL
10,143B,MTT,Au,72,10.0,106.26,12.5,-7.455,0.0,2.54,1.692,1.35,original,23985,[Au],11,196.967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338,Human,Human,mix,bone,osteosarcoma,1
11,143B,MTT,Au,72,30.0,94.072,16.785,-20.665,0.0,2.54,1.692,1.35,original,23985,[Au],11,196.967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338,Human,Human,mix,bone,osteosarcoma,1
12,143B,MTT,Au,72,100.0,64.764,14.23,-25.0,0.0,2.54,1.692,1.35,original,23985,[Au],11,196.967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338,Human,Human,mix,bone,osteosarcoma,1
13,143B,MTT,Au,24,0.5,88.021,20.0,24.3,0.0,2.54,1.692,1.35,original,23985,[Au],11,196.967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338,Human,Human,mix,bone,osteosarcoma,1
14,143B,MTT,Au,24,5.0,85.069,20.0,31.49,0.0,2.54,1.692,1.35,original,23985,[Au],11,196.967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338,Human,Human,mix,bone,osteosarcoma,1
15,143B,NRU,Au,24,50.0,55.556,20.0,37.28,0.0,2.54,1.692,1.35,original,23985,[Au],11,196.967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338,Human,Human,mix,bone,osteosarcoma,1
16,143B,NRU,Au,24,500.0,12.5,20.0,-30.62,0.0,2.54,1.692,1.35,original,23985,[Au],11,196.967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338,Human,Human,mix,bone,osteosarcoma,1
17,143B,NRU,Au,24,0.5,97.049,20.0,-17.1,0.0,2.54,1.692,1.35,original,23985,[Au],11,196.967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338,Human,Human,mix,bone,osteosarcoma,1
18,143B,NRU,Au,24,5.0,94.444,20.0,-19.285,0.0,2.54,1.692,1.35,original,23985,[Au],11,196.967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338,Human,Human,mix,bone,osteosarcoma,1
19,143B,NRU,Au,24,50.0,92.014,20.0,-8.72,0.0,2.54,1.692,1.35,original,23985,[Au],11,196.967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,2.467976720090587,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338,Human,Human,mix,bone,osteosarcoma,1
